application_id,service,lms_application_id,site_lat,site_long
1771688   ,FX ,3fd498fa817a46009c29c1b6063ebeb7 ,39.29472,-102.26075
1017639   ,FM ,1ee9bd2a8c9c45e3a7b7c1b6063ebeb7 ,39.41886,-107.37003
1473863   ,FM ,68c5f3b24b2b4f068d20c1b6063ebeb7 ,39.06664,-108.74539
1304075   ,FX ,d98cc8f9e5ab43dfb6f5c1b6063ebeb7 ,37.23725,-104.51497
1781762   ,FM ,e0790f00847941cd9386c1b6063ebeb7 ,39.73278,-105.23611
1136987   ,FX ,2bad9d8027214d5b8c0ac1b6063ebeb7 ,38.42222,-105.15194
1384454   ,FX ,a573ad9ccfa04348aad1c1b6063ebeb7 ,38.88608,-104.89053
1242254   ,FM ,983323950673456085e1c1b6063ebeb7 ,37.19667,-107.11753
1402403   ,FM ,8544f7e603c64d57924bc1b6063ebeb7 ,38.44664,-106.01056
1803748   ,FX ,2ffff3ff7ad44a85996ec1b6063ebeb7 ,40.53250,-103.12328
1427402   ,FM ,d4c37c50699a4911b327c1b6063ebeb7 ,40.07331,-102.23461
1829370   ,FM ,6c48bffcab2b4d96acb3c1b6063ebeb7 ,40.05833,-102.18992
1390741   ,FM ,202d4ea15f4a46c481bdc1b6063ebeb7 ,41.55342,-72.65758 
148346    ,FM ,d7f9bc5ded40464f80d7c1b6063ebeb7 ,41.31897,-73.25317 
231654    ,FS ,6d7a6bd0698e49978e95c1b6063ebeb7 ,41.31897,-73.25317 
1197719   ,FS ,0b730a0c0a20475aa428c1b6063ebeb7 ,41.34164,-73.27444 
498543    ,FM ,528a9382083e49e78c62c1b6063ebeb7 ,39.75761,-75.66686 
88467     ,FM ,7e1ae1303b8841cf9b0ec1b6063ebeb7 ,27.13197,-82.39397 
1571102   ,FM ,7353275d5c65456dadd1c1b6063ebeb7 ,29.80939,-82.60706 
286517    ,FM ,ee4e075b739241238171c1b6063ebeb7 ,25.54036,-80.46839 
1618835   ,FM ,c4ed809cd3f04816bf12c1b6063ebeb7 ,30.27636,-81.56397 
1538617   ,FM ,1db48f41f0c047c885f2c1b6063ebeb7 ,29.23803,-82.12092 
1492603   ,FM ,eebf3ca85d404fbeb71dc1b6063ebeb7 ,30.40381,-86.99275 
1636841   ,FS ,99a9abf6793a49c98101c1b6063ebeb7 ,30.54383,-87.22019 
1568206   ,FM ,4b1b7d3f6f564dd48010c1b6063ebeb7 ,24.99039,-80.54061 
167753    ,FM ,25076f917ce2e04b017d0176147623f1 ,28.62186,-82.55028 
166731    ,FM ,25076ff37ce2da1c017cf229a9822644 ,28.58217,-82.52894 
166338    ,FM ,25076f917be66197017bf08ee44005c1 ,28.55825,-82.52997 
167131    ,FM ,25076f917ce2e04b017d029f0ddb3ac4 ,28.61361,-82.50139 
679198    ,FM ,e9a9e379792c48b7a80bc1b6063ebeb7 ,26.58922,-80.21200 
1169155   ,FX ,4d95fcc3e4754fc2bc98c1b6063ebeb7 ,34.10567,-83.93019 
118020    ,FX ,25076f917357240e01735e310fda057e ,31.54575,-82.89153 
1420805   ,FM ,0e14c85ebecf4e069285c1b6063ebeb7 ,34.01206,-83.29375 
1096709   ,FM ,5ff043bdd9914d409d32c1b6063ebeb7 ,32.06356,-81.04872 
1505537   ,FM ,d526559135ef4fcea9f5c1b6063ebeb7 ,32.35572,-82.61847 
1513159   ,FM ,a1d364124a6244f38999c1b6063ebeb7 ,30.66853,-83.96933 
1585489   ,FM ,8433fbfc54a740198c76c1b6063ebeb7 ,32.85236,-84.70103 
1633530   ,FX ,b4d2d791c3f7490fa613c1b6063ebeb7 ,34.06647,-84.45381 
1364896   ,FM ,2659c338ed4346708418c1b6063ebeb7 ,13.48806,144.83139 
167374    ,FM ,25076f917e74a18e017e8d4eb8d80991 ,22.18250,-159.33306
189729    ,FM ,25076f918049087101806784dd08157a ,19.72917,-155.02278
1567205   ,FX ,79eb6d8b2e5443d89c80c1b6063ebeb7 ,19.69667,-155.05139
1480489   ,FM ,0114d93715804d99b54ec1b6063ebeb7 ,21.33347,-157.81475
1804211   ,FS ,50e36fae0c0a4f0faa1bc1b6063ebeb7 ,21.33667,-157.81750
1515257   ,FB ,aea0804158f84ae3a755c1b6063ebeb7 ,21.51044,-158.14556
167196    ,FM ,25076f91801fe91a01802ece4cc1095e ,42.92444,-93.80625 
166214    ,FM ,25076ff37c9aaf99017c9fd5367a02fc ,40.76728,-90.92417 
167422    ,FM ,25076ff382a6e55c0182a76d38dc05b8 ,40.75248,-91.12614 
187502    ,FM ,25076f917effd0c7017f04a1349d025d ,41.58389,-93.64153 
39713     ,FM ,3987a8f72b5a4225b2a0c1b6063ebeb7 ,42.49078,-94.20050 
162295    ,FM ,25076f917c2e852d017c3a252dfc0b13 ,41.03392,-92.40964 
1521177   ,FM ,36aab67e05624425acc9c1b6063ebeb7 ,42.66831,-94.99333 
222501    ,FM ,73102ded045b48b4b0fdc1b6063ebeb7 ,42.51247,-92.32350 
1078591   ,FM ,674f3dba801048b683b9c1b6063ebeb7 ,42.72992,-114.41919
